run_id,seed,test_ratio,negative_strategy,negatives_per_source,k,algorithm,sources_evaluated,precision_at_k,hit_rate_at_k,mrr,positive_candidates,negative_candidates,runtime_seconds
seed7_hard_2hop,7,0.2,hard_2hop,100,1,cosine_similarity,3728,0.249464,0.249464,0.371169,20867,372800,0.352413
seed7_hard_2hop,7,0.2,hard_2hop,100,3,cosine_similarity,3728,0.235157,0.407457,0.371169,20867,372800,0.352413
seed7_hard_2hop,7,0.2,hard_2hop,100,5,cosine_similarity,3728,0.226073,0.515826,0.371169,20867,372800,0.352413
seed7_hard_2hop,7,0.2,hard_2hop,100,10,cosine_similarity,3728,0.19831,0.655579,0.371169,20867,372800,0.352413
seed7_hard_2hop,7,0.2,hard_2hop,100,20,cosine_similarity,3728,0.157269,0.733906,0.371169,20867,372800,0.352413
seed7_hard_2hop,7,0.2,hard_2hop,100,1,sorensen,3728,0.248927,0.248927,0.371113,20867,372800,0.324775
seed7_hard_2hop,7,0.2,hard_2hop,100,3,sorensen,3728,0.242132,0.411212,0.371113,20867,372800,0.324775
seed7_hard_2hop,7,0.2,hard_2hop,100,5,sorensen,3728,0.231438,0.505901,0.371113,20867,372800,0.324775
seed7_hard_2hop,7,0.2,hard_2hop,100,10,sorensen,3728,0.206545,0.645923,0.371113,20867,372800,0.324775
seed7_hard_2hop,7,0.2,hard_2hop,100,20,sorensen,3728,0.163801,0.732833,0.371113,20867,372800,0.324775
seed7_hard_2hop,7,0.2,hard_2hop,100,1,target_indegree,3728,0.29721,0.29721,0.423858,20867,372800,0.125954
seed7_hard_2hop,7,0.2,hard_2hop,100,3,target_indegree,3728,0.250715,0.476663,0.423858,20867,372800,0.125954
seed7_hard_2hop,7,0.2,hard_2hop,100,5,target_indegree,3728,0.223283,0.551502,0.423858,20867,372800,0.125954
seed7_hard_2hop,7,0.2,hard_2hop,100,10,target_indegree,3728,0.187124,0.665504,0.423858,20867,372800,0.125954
seed7_hard_2hop,7,0.2,hard_2hop,100,20,target_indegree,3728,0.153407,0.806867,0.423858,20867,372800,0.125954
seed13_random,13,0.2,random,100,1,common_neighbors,3728,0.379828,0.379828,0.499176,20867,372800,0.294978
seed13_random,13,0.2,random,100,3,common_neighbors,3728,0.321084,0.574303,0.499176,20867,372800,0.294978
seed13_random,13,0.2,random,100,5,common_neighbors,3728,0.285193,0.642167,0.499176,20867,372800,0.294978
seed13_random,13,0.2,random,100,10,common_neighbors,3728,0.227977,0.703058,0.499176,20867,372800,0.294978
seed13_random,13,0.2,random,100,20,common_neighbors,3728,0.169447,0.755365,0.499176,20867,372800,0.294978
seed13_random,13,0.2,random,100,1,jaccard,3728,0.289163,0.289163,0.418583,20867,372800,0.710939
seed13_random,13,0.2,random,100,3,jaccard,3728,0.265916,0.474517,0.418583,20867,372800,0.710939
seed13_random,13,0.2,random,100,5,jaccard,3728,0.251931,0.579667,0.418583,20867,372800,0.710939
seed13_random,13,0.2,random,100,10,jaccard,3728,0.217597,0.689914,0.418583,20867,372800,0.710939
seed13_random,13,0.2,random,100,20,jaccard,3728,0.168214,0.753487,0.418583,20867,372800,0.710939
seed13_random,13,0.2,random,100,1,adamic_adar,3728,0.381974,0.381974,0.502887,20867,372800,0.39036
seed13_random,13,0.2,random,100,3,adamic_adar,3728,0.324213,0.58235,0.502887,20867,372800,0.39036
seed13_random,13,0.2,random,100,5,adamic_adar,3728,0.288305,0.650751,0.502887,20867,372800,0.39036
seed13_random,13,0.2,random,100,10,adamic_adar,3728,0.228165,0.708691,0.502887,20867,372800,0.39036
seed13_random,13,0.2,random,100,20,adamic_adar,3728,0.169286,0.75456,0.502887,20867,372800,0.39036
seed13_random,13,0.2,random,100,1,personalized_pagerank,3728,0.411481,0.411481,0.539414,20867,372800,13.050189
seed13_random,13,0.2,random,100,3,personalized_pagerank,3728,0.339145,0.614807,0.539414,20867,372800,13.050189
seed13_random,13,0.2,random,100,5,personalized_pagerank,3728,0.299732,0.698498,0.539414,20867,372800,13.050189
seed13_random,13,0.2,random,100,10,personalized_pagerank,3728,0.236212,0.785944,0.539414,20867,372800,13.050189
seed13_random,13,0.2,random,100,20,personalized_pagerank,3728,0.171727,0.840933,0.539414,20867,372800,13.050189
seed13_random,13,0.2,random,100,1,resource_allocation,3728,0.369099,0.369099,0.493779,20867,372800,0.36965
seed13_random,13,0.2,random,100,3,resource_allocation,3728,0.314914,0.576717,0.493779,20867,372800,0.36965
seed13_random,13,0.2,random,100,5,resource_allocation,3728,0.279185,0.648069,0.493779,20867,372800,0.36965
seed13_random,13,0.2,random,100,10,resource_allocation,3728,0.223498,0.710032,0.493779,20867,372800,0.36965
seed13_random,13,0.2,random,100,20,resource_allocation,3728,0.166001,0.753755,0.493779,20867,372800,0.36965
seed13_random,13,0.2,random,100,1,preferential_attachment,3728,0.252146,0.252146,0.404511,20867,372800,0.171981
seed13_random,13,0.2,random,100,3,preferential_attachment,3728,0.223712,0.459764,0.404511,20867,372800,0.171981
seed13_random,13,0.2,random,100,5,preferential_attachment,3728,0.207457,0.574839,0.404511,20867,372800,0.171981
seed13_random,13,0.2,random,100,10,preferential_attachment,3728,0.182216,0.726395,0.404511,20867,372800,0.171981
seed13_random,13,0.2,random,100,20,preferential_attachment,3728,0.152347,0.892704,0.404511,20867,372800,0.171981
seed13_random,13,0.2,random,100,1,cosine_similarity,3728,0.277897,0.277897,0.414679,20867,372800,0.32118
seed13_random,13,0.2,random,100,3,cosine_similarity,3728,0.264306,0.483906,0.414679,20867,372800,0.32118
seed13_random,13,0.2,random,100,5,cosine_similarity,3728,0.246835,0.591738,0.414679,20867,372800,0.32118
seed13_random,13,0.2,random,100,10,cosine_similarity,3728,0.210917,0.695815,0.414679,20867,372800,0.32118
seed13_random,13,0.2,random,100,20,cosine_similarity,3728,0.16242,0.752682,0.414679,20867,372800,0.32118
seed13_random,13,0.2,random,100,1,sorensen,3728,0.289163,0.289163,0.418583,20867,372800,0.289289
seed13_random,13,0.2,random,100,3,sorensen,3728,0.265916,0.474517,0.418583,20867,372800,0.289289
seed13_random,13,0.2,random,100,5,sorensen,3728,0.251931,0.579667,0.418583,20867,372800,0.289289
seed13_random,13,0.2,random,100,10,sorensen,3728,0.217597,0.689914,0.418583,20867,372800,0.289289
seed13_random,13,0.2,random,100,20,sorensen,3728,0.168214,0.753487,0.418583,20867,372800,0.289289
seed13_random,13,0.2,random,100,1,target_indegree,3728,0.344421,0.344421,0.489128,20867,372800,0.129447
seed13_random,13,0.2,random,100,3,target_indegree,3728,0.282278,0.55338,0.489128,20867,372800,0.129447
seed13_random,13,0.2,random,100,5,target_indegree,3728,0.250966,0.653702,0.489128,20867,372800,0.129447
seed13_random,13,0.2,random,100,10,target_indegree,3728,0.20904,0.796137,0.489128,20867,372800,0.129447
seed13_random,13,0.2,random,100,20,target_indegree,3728,0.16706,0.939109,0.489128,20867,372800,0.129447
seed13_degree_matched,13,0.2,degree_matched,100,1,common_neighbors,3728,0.169796,0.169796,0.29403,20867,372800,0.406489
seed13_degree_matched,13,0.2,degree_matched,100,3,common_neighbors,3728,0.148784,0.336373,0.29403,20867,372800,0.406489
