algorithm,k,negative_strategy,negatives_per_source,test_ratio,runs,mean_precision_at_k,std_precision_at_k,mean_hit_rate_at_k,std_hit_rate_at_k,mean_mrr,std_mrr,mean_runtime_seconds,std_runtime_seconds
sorensen,3,random,100,0.2,5,0.267006,0.004004,0.48058,0.008199,0.415849,0.005187,0.292503,0.010909
sorensen,5,degree_matched,100,0.2,5,0.167414,0.001706,0.465397,0.005652,0.336657,0.003404,0.393769,0.015082
sorensen,5,hard_2hop,100,0.2,5,0.227596,0.002342,0.497854,0.005536,0.36488,0.003512,0.308784,0.009066
sorensen,5,random,100,0.2,5,0.25177,0.001795,0.583852,0.00349,0.415849,0.005187,0.292503,0.010909
target_indegree,1,degree_matched,100,0.2,5,0.055901,0.001571,0.055901,0.001571,0.156159,0.001703,0.142603,0.036944
target_indegree,1,hard_2hop,100,0.2,5,0.294581,0.001658,0.294581,0.001658,0.422308,0.001281,0.144038,0.036214
target_indegree,1,random,100,0.2,5,0.339914,0.005419,0.339914,0.005419,0.485981,0.004903,0.144182,0.039841
target_indegree,10,degree_matched,100,0.2,5,0.051582,0.000509,0.361427,0.004905,0.156159,0.001703,0.142603,0.036944
target_indegree,10,hard_2hop,100,0.2,5,0.185885,0.000954,0.67162,0.007369,0.422308,0.001281,0.144038,0.036214
target_indegree,10,random,100,0.2,5,0.207479,0.002073,0.793348,0.006771,0.485981,0.004903,0.144182,0.039841
target_indegree,20,degree_matched,100,0.2,5,0.048854,0.000378,0.509388,0.00488,0.156159,0.001703,0.142603,0.036944
target_indegree,20,hard_2hop,100,0.2,5,0.152146,0.000785,0.805687,0.004141,0.422308,0.001281,0.144038,0.036214
target_indegree,20,random,100,0.2,5,0.167202,0.000525,0.938948,0.002759,0.485981,0.004903,0.144182,0.039841
target_indegree,3,degree_matched,100,0.2,5,0.056062,0.001921,0.156867,0.005707,0.156159,0.001703,0.142603,0.036944
target_indegree,3,hard_2hop,100,0.2,5,0.247872,0.002796,0.473015,0.002836,0.422308,0.001281,0.144038,0.036214
target_indegree,3,random,100,0.2,5,0.280311,0.002622,0.548552,0.005314,0.485981,0.004903,0.144182,0.039841
target_indegree,5,degree_matched,100,0.2,5,0.054871,0.001229,0.234388,0.005557,0.156159,0.001703,0.142603,0.036944
target_indegree,5,hard_2hop,100,0.2,5,0.221813,0.001067,0.556545,0.004667,0.422308,0.001281,0.144038,0.036214
target_indegree,5,random,100,0.2,5,0.249238,0.002212,0.648981,0.006232,0.485981,0.004903,0.144182,0.039841
